    0.7240996868D-03    0.2786193221D+04    0.5385238700D+01    0.2273492027D+09    0.1985807237D+09
    0.8488974374D-03    0.2790408288D+04    0.4937730321D+01    0.2014854956D+09    0.1980321014D+09
    0.9737233545D-03    0.2788619125D+04    0.5840618337D+01    0.1817650262D+09    0.1963124260D+09
    0.1098541501D-02    0.2789148876D+04    0.6054546305D+01    0.1826786826D+09    0.1950682608D+09
    0.1223362795D-02    0.2788966309D+04    0.6021279512D+01    0.1821132046D+09    0.1951084049D+09
    0.1348182205D-02    0.2789008243D+04    0.6018343395D+01    0.1822702418D+09    0.1950965912D+09
    0.1472999879D-02    0.2789050493D+04    0.6000780013D+01    0.1821352559D+09    0.1947813297D+09
    0.1597816997D-02    0.2789085817D+04    0.5996914836D+01    0.1823807925D+09    0.1946765075D+09
    0.1722637693D-02    0.2789075367D+04    0.5982208780D+01    0.1827841980D+09    0.1949118754D+09
    0.1847463022D-02    0.2788925904D+04    0.5999683723D+01    0.1832959002D+09    0.1950640950D+09
    0.1972290619D-02    0.2788868319D+04    0.5999257965D+01    0.1832086108D+09    0.1946630523D+09
    0.2097118089D-02    0.2788824568D+04    0.5993254395D+01    0.1827719726D+09    0.1941240556D+09
    0.2221942534D-02    0.2788873971D+04    0.6006291211D+01    0.1823944876D+09    0.1936961404D+09
    0.2346763500D-02    0.2788959775D+04    0.6014609320D+01    0.1822682149D+09    0.1935289522D+09
    0.2471581963D-02    0.2789029444D+04    0.6018955171D+01    0.1823598279D+09    0.1936545604D+09
    0.2596399933D-02    0.2789071597D+04    0.6029262301D+01    0.1823436966D+09    0.1938252879D+09
    0.2721220356D-02    0.2789051499D+04    0.6033615215D+01    0.1822955147D+09    0.1939809339D+09
    0.2846048119D-02    0.2788961959D+04    0.6047988941D+01    0.1820257079D+09    0.1940361048D+09
    0.2970883042D-02    0.2788723527D+04    0.6053705465D+01    0.1816548699D+09    0.1941101721D+09
    0.3095720004D-02    0.2788642046D+04    0.6058677293D+01    0.1812587947D+09    0.1940672823D+09
    0.3220556441D-02    0.2788632391D+04    0.6056507714D+01    0.1808488314D+09    0.1939388860D+09
    0.3345389999D-02    0.2788665535D+04    0.6054140177D+01    0.1806102377D+09    0.1938937750D+09
    0.3470219048D-02    0.2788760984D+04    0.6042313818D+01    0.1806604890D+09    0.1938913259D+09
    0.3595043818D-02    0.2788867036D+04    0.6027193072D+01    0.1809524630D+09    0.1940663382D+09
    0.3719865148D-02    0.2788952198D+04    0.6012140311D+01    0.1812128057D+09    0.1941300031D+09
    0.3844686013D-02    0.2789020711D+04    0.6001336516D+01    0.1816825245D+09    0.1943036857D+09
    0.3969513281D-02    0.2788973000D+04    0.5998350967D+01    0.1819609424D+09    0.1943096606D+09
    0.4094350957D-02    0.2788734606D+04    0.5993722739D+01    0.1820999861D+09    0.1942329067D+09
    0.4219199046D-02    0.2788507955D+04    0.5995870361D+01    0.1822247161D+09    0.1941328472D+09
    0.4344055359D-02    0.2788269459D+04    0.5997938344D+01    0.1821804499D+09    0.1939113891D+09
    0.4468916862D-02    0.2788140599D+04    0.6002453587D+01    0.1822258787D+09    0.1938395851D+09
    0.4593783629D-02    0.2788037681D+04    0.6009300215D+01    0.1823673719D+09    0.1939309571D+09
    0.4718656989D-02    0.2787905518D+04    0.6018934250D+01    0.1825180746D+09    0.1941320433D+09
    0.4843534740D-02    0.2787743276D+04    0.6010085105D+01    0.1827266260D+09    0.1945141443D+09
    0.4968416326D-02    0.2787709501D+04    0.6019676233D+01    0.1824201791D+09    0.1945611308D+09
    0.5093298781D-02    0.2787572023D+04    0.6030111404D+01    0.1829650162D+09    0.1952428658D+09
    0.5218181927D-02    0.2787670715D+04    0.6035310657D+01    0.1824122048D+09    0.1953011374D+09
    0.5343062719D-02    0.2787541179D+04    0.6044250152D+01    0.1819160592D+09    0.1953022732D+09
    0.5467958559D-02    0.2787775796D+04    0.6057201413D+01    0.1816238822D+09    0.1954845267D+09
    0.5593036129D-02    0.2786869604D+04    0.6066136981D+01    0.1814109792D+09    0.1955250994D+09
    0.5718276751D-02    0.2779685296D+04    0.6037331674D+01    0.1817006627D+09    0.1958301328D+09
    0.5843357718D-02    0.2779613195D+04    0.6043422577D+01    0.1822731446D+09    0.1959115762D+09
    0.5968255745D-02    0.2786790477D+04    0.6009267863D+01    0.1826237320D+09    0.1959625893D+09
    0.6093134049D-02    0.2787757327D+04    0.5985618074D+01    0.1828146222D+09    0.1958380095D+09
    0.6218012030D-02    0.2787670757D+04    0.5974773528D+01    0.1829316450D+09    0.1957408770D+09
    0.6342887445D-02    0.2787771721D+04    0.5971869651D+01    0.1829275129D+09    0.1954535480D+09
    0.6467760150D-02    0.2787785312D+04    0.5965636543D+01    0.1831695429D+09    0.1954366701D+09
    0.6592628512D-02    0.2787892749D+04    0.5969656371D+01    0.1831486829D+09    0.1952632120D+09
    0.6717491769D-02    0.2787979207D+04    0.5976891339D+01    0.1831919039D+09    0.1952403345D+09
    0.6842349681D-02    0.2788120738D+04    0.5981381153D+01    0.1836324424D+09    0.1956660741D+09
    0.6967204031D-02    0.2788217895D+04    0.5994580091D+01    0.1836532320D+09    0.1958582646D+09
    0.7092055195D-02    0.2788279848D+04    0.6003404645D+01    0.1835581497D+09    0.1959922903D+09
    0.7216902161D-02    0.2788360193D+04    0.6017399084D+01    0.1832375954D+09    0.1960757118D+09
    0.7341744960D-02    0.2788467371D+04    0.6026838269D+01    0.1829027424D+09    0.1962052835D+09
    0.7466582524D-02    0.2788546326D+04    0.6043558322D+01    0.1824384337D+09    0.1961919839D+09
    0.7591411770D-02    0.2788701245D+04    0.6047707164D+01    0.1818497227D+09    0.1961536932D+09
    0.7716233249D-02    0.2788917992D+04    0.6052080448D+01    0.1815866513D+09    0.1962502844D+09
    0.7841050931D-02    0.2789048242D+04    0.6044591875D+01    0.1817981702D+09    0.1965236776D+09
    0.7965868771D-02    0.2789087727D+04    0.6030475157D+01    0.1820877092D+09    0.1967055692D+09
    0.8090689224D-02    0.2789041196D+04    0.5999480303D+01    0.1825640748D+09    0.1967393737D+09
    0.8215512696D-02    0.2788970908D+04    0.5977757927D+01    0.1828322314D+09    0.1966779392D+09
    0.8340339352D-02    0.2788906299D+04    0.5959941384D+01    0.1830624194D+09    0.1965713045D+09
    0.8465168922D-02    0.2788828638D+04    0.5948165341D+01    0.1830648666D+09    0.1962848657D+09
    0.8589999352D-02    0.2788776090D+04    0.5941013834D+01    0.1829754965D+09    0.1959020277D+09
    0.8714827848D-02    0.2788790214D+04    0.5938517165D+01    0.1832117103D+09    0.1958480923D+09
    0.8839651561D-02    0.2788862533D+04    0.5938416524D+01    0.1836455583D+09    0.1960872731D+09
    0.8964468867D-02    0.2789003908D+04    0.5942760581D+01    0.1839368777D+09    0.1962755076D+09
    0.9089281743D-02    0.2789148850D+04    0.5948198857D+01    0.1840660736D+09    0.1964156583D+09
    0.9214094120D-02    0.2789201909D+04    0.5955561984D+01    0.1839974776D+09    0.1965202350D+09
    0.9338908915D-02    0.2789171102D+04    0.5969261931D+01    0.1838277790D+09    0.1966579244D+09
    0.9463727680D-02    0.2789093918D+04    0.5982663589D+01    0.1835255504D+09    0.1967723119D+09
    0.9588550856D-02    0.2788993612D+04    0.6001755952D+01    0.1829957475D+09    0.1967314902D+09
    0.9713377643D-02    0.2788896850D+04    0.6012263584D+01    0.1823481019D+09    0.1966564258D+09
    0.9838205796D-02    0.2788832229D+04    0.6026689813D+01    0.1820731922D+09    0.1968823128D+09
    0.9963031460D-02    0.2788835797D+04    0.6028955213D+01    0.1821499015D+09    0.1972687459D+09
    0.1008785161D-01    0.2788943480D+04    0.6025526271D+01    0.1822976920D+09    0.1975101420D+09
    0.1021266663D-01    0.2789081984D+04    0.6011119402D+01    0.1826007314D+09    0.1975300350D+09
    0.1033747932D-01    0.2789173084D+04    0.5990826351D+01    0.1828935137D+09    0.1974725797D+09
    0.1046229289D-01    0.2789185869D+04    0.5972101416D+01    0.1831783041D+09    0.1973999456D+09
    0.1058710932D-01    0.2789134067D+04    0.5954361079D+01    0.1832472464D+09    0.1971948989D+09
    0.1071192893D-01    0.2789057796D+04    0.5943796709D+01    0.1831740873D+09    0.1968904264D+09
    0.1083675104D-01    0.2788992112D+04    0.5934635858D+01    0.1831372643D+09    0.1966092971D+09
    0.1096157421D-01    0.2788945701D+04    0.5926429465D+01    0.1835144793D+09    0.1967695267D+09
    0.1108639520D-01    0.2788945084D+04    0.5921254269D+01    0.1838917924D+09    0.1970581611D+09
    0.1121121105D-01    0.2789043160D+04    0.5920427739D+01    0.1841062003D+09    0.1971985950D+09
    0.1133602224D-01    0.2789174515D+04    0.5918374639D+01    0.1841891062D+09    0.1972825330D+09
    0.1146083234D-01    0.2789251783D+04    0.5904901439D+01    0.1841817947D+09    0.1972949959D+09
    0.1158564457D-01    0.2789222943D+04    0.5920829290D+01    0.1838755844D+09    0.1973536103D+09
    0.1171046070D-01    0.2789156796D+04    0.5920655769D+01    0.1832585161D+09    0.1972234493D+09
    0.1183528084D-01    0.2789048221D+04    0.5927944055D+01    0.1826621270D+09    0.1972724451D+09
    0.1196010385D-01    0.2788978068D+04    0.5941015923D+01    0.1823638010D+09    0.1975978541D+09
    0.1208492833D-01    0.2788919992D+04    0.5952141738D+01    0.1822012152D+09    0.1980658793D+09
    0.1220975098D-01    0.2788912112D+04    0.5958224375D+01    0.1820272187D+09    0.1984597411D+09
    0.1233456895D-01    0.2789001917D+04    0.5953325924D+01    0.1818027139D+09    0.1985624986D+09
    0.1245938312D-01    0.2789120777D+04    0.5935652642D+01    0.1816947129D+09    0.1984674331D+09
    0.1258419633D-01    0.2789172374D+04    0.5905112286D+01    0.1818573876D+09    0.1983635548D+09
    0.1270901119D-01    0.2789163345D+04    0.5873929433D+01    0.1819862248D+09    0.1982109591D+09
    0.1283382890D-01    0.2789098781D+04    0.5843128482D+01    0.1818896921D+09    0.1979415690D+09
    0.1295864918D-01    0.2789035983D+04    0.5817328325D+01    0.1819946472D+09    0.1979721710D+09
    0.1308347106D-01    0.2788983936D+04    0.5799527998D+01    0.1822314064D+09    0.1981512442D+09
    0.1320829297D-01    0.2788964503D+04    0.5786437821D+01    0.1824719173D+09    0.1983894788D+09
    0.1333311222D-01    0.2788982424D+04    0.5775471079D+01    0.1825576304D+09    0.1985132327D+09
    0.1345792731D-01    0.2789083249D+04    0.5761400986D+01    0.1822736200D+09    0.1983617560D+09
    0.1358274035D-01    0.2789168807D+04    0.5753698950D+01    0.1820413810D+09    0.1983542857D+09
    0.1370755429D-01    0.2789174300D+04    0.5743340685D+01    0.1817211104D+09    0.1984526650D+09
    0.1383237104D-01    0.2789129259D+04    0.5746829690D+01    0.1813477202D+09    0.1985714020D+09
    0.1395719136D-01    0.2789048044D+04    0.5740616207D+01    0.1807412674D+09    0.1986764033D+09
    0.1408201483D-01    0.2788969900D+04    0.5738517602D+01    0.1804072192D+09    0.1990393233D+09
    0.1420684006D-01    0.2788907560D+04    0.5730946867D+01    0.1801891641D+09    0.1995331826D+09
    0.1433166504D-01    0.2788891200D+04    0.5724419310D+01    0.1799999723D+09    0.1999546135D+09
    0.1445648720D-01    0.2788918678D+04    0.5731627478D+01    0.1793264623D+09    0.1999983878D+09
    0.1458130575D-01    0.2789017242D+04    0.5717022701D+01    0.1790289637D+09    0.1999651388D+09
    0.1470612293D-01    0.2789079971D+04    0.5689862224D+01    0.1789778263D+09    0.1998931113D+09
    0.1483094099D-01    0.2789078363D+04    0.5669003522D+01    0.1791852940D+09    0.1997807018D+09
    0.1495576118D-01    0.2789040743D+04    0.5643292630D+01    0.1792951427D+09    0.1996249279D+09
